"","n","err","class"
"104347",104347,0.00305414453065868,3
"104380",104380,0.00317940662135098,3
"104494",104494,0.00303374497875857,3
"104642",104642,0.0028334810121761,3
"105288",105288,0.00236160486413451,3
"106083",106083,0.00180237489665267,3
"106529",106529,0.00188742501734648,3
"106734",106734,0.00176136546394351,3
"106924",106924,0.00177384120955298,3
"106936",106936,0.00160778094546443,3
"107088",107088,0.00200672067889977,3
"107241",107241,0.00158197090685184,3
"107472",107472,0.00225228238415065,3
"110952",110952,0.00227779694389504,3
"112518",112518,0.00127816267188721,3
"113416",113416,0.0018277631322827,3
"113616",113616,0.00172184346702303,3
"113798",113798,0.00203603653485685,3
"114157",114157,0.00148972230046439,3
"114649",114649,0.00194709089712955,3
"114869",114869,0.00184025075875426,3
"115785",115785,0.00136241533257985,3
"116152",116152,0.00238001916696691,3
"117112",117112,0.00313490389622973,3
"117128",117128,0.00299787296884821,3
"117276",117276,0.00333799114084352,3
"117814",117814,0.00422494631932199,3
"119074",119074,0.00367109004491798,3
"120706",120706,0.00463594933197541,3
"121145",121145,0.00500461122674645,3
"121656",121656,0.00477559967500982,3
"122548",122548,0.00441808655250506,3
"123550",123550,0.00269042427355469,3
"124321",124321,0.00308968477944199,3
"125052",125052,0.00388426944018789,3
"125498",125498,0.00402881346976943,3
"125808",125808,0.00383966995570702,3
"126262",126262,0.0036058739460352,3
"126840",126840,0.00254913963075547,3
"127781",127781,0.00261307994583362,3
"127894",127894,0.0025022577257629,3
"128471",128471,0.00286049746639903,3
"128888",128888,0.00192303638093722,3
"128937",128937,0.00161915114488661,3
"129277",129277,0.00182181734525739,3
"129346",129346,0.00182382391150062,3
"130051",130051,0.00195687329666159,3
"131301",131301,0.00381742882772087,3
"131355",131355,0.00385752572129465,3
"132029",132029,0.00406327349570021,3
"134538",134538,0.00390476161435343,3
"134852",134852,0.0045073557837668,3
"134972",134972,0.00442210163052116,3
"135057",135057,0.00445048760295915,3
"135226",135226,0.00400147503671646,3
"138752",138752,0.00641983611914298,3
"139419",139419,0.00693720697218125,3
"140421",140421,0.00624620850328675,3
"140439",140439,0.0062583983113242,3
"140843",140843,0.0062574817536315,3
"141061",141061,0.00610775525954756,3
"141881",141881,0.00497375968242494,3
"141982",141982,0.00502680590937095,3
"142665",142665,0.00584307561691799,3
"143540",143540,0.00537411862374907,3
"143690",143690,0.00549730680623019,3
"143802",143802,0.00554132871734329,3
"145400",145400,0.00607926017575068,3
"146194",146194,0.00624263110675869,3
"146904",146904,0.00576517173564046,3
"148175",148175,0.00536611908351959,3
"148661",148661,0.0050131543019974,3
"149536",149536,0.00489928864330089,3
"149561",149561,0.00486386412747077,3
"149874",149874,0.00455097743119614,3
"150697",150697,0.00557661282986849,3
"152208",152208,0.00497169971560642,3
"153058",153058,0.00528388374078126,3
"153721",153721,0.00513939054668879,3
"153872",153872,0.00524812364797897,3
"154202",154202,0.00515381759786723,3
"154930",154930,0.00510112943053965,3
"155992",155992,0.00486681692191385,3
"156792",156792,0.0051132688144456,3
"157440",157440,0.00550937796811304,3
"157682",157682,0.00560059548935285,3
"158054",158054,0.00580505650053025,3
"158507",158507,0.006119814792644,3
"158529",158529,0.00616776752293695,3
"159022",159022,0.00610272003020003,3
"159337",159337,0.00585556230818271,3
"160335",160335,0.00540588438636876,3
"160920",160920,0.00556989507465463,3
"162333",162333,0.00536559078989296,3
"163215",163215,0.00509479881363264,3
"163919",163919,0.00525289178140576,3
"166175",166175,0.00466866720179198,3
"166820",166820,0.00428985901136999,3
"166887",166887,0.00436182389936224,3
"167234",167234,0.00381889051117168,3
"168005",168005,0.00334216721458545,3
"168051",168051,0.00336244171945713,3
"168440",168440,0.00316373845327168,3
"168664",168664,0.00300682817382138,3
"170252",170252,0.00273385012231233,3
"170755",170755,0.0030308068562375,3
"170892",170892,0.00263271932829467,3
"171469",171469,0.00261164992720481,3
"171650",171650,0.00282484660420755,3
"172522",172522,0.00200777929285203,3
"172984",172984,0.002254007205084,3
"173144",173144,0.00218656063100365,3
"173889",173889,0.0014840333449586,3
"173964",173964,0.00145111816833146,3
"175950",175950,0.0018651626385619,3
"176824",176824,0.00195828278647932,3
"177056",177056,0.00187702937873203,3
"179956",179956,0.00264163457178278,3
"180149",180149,0.00266791130142307,3
"180154",180154,0.00269510380642154,3
"180650",180650,0.00356345134721909,3
"180996",180996,0.00323316896966561,3
"181476",181476,0.00320138861188462,3
"181738",181738,0.00317320445026803,3
"182978",182978,0.00341721400192862,3
"183153",183153,0.00370321578129366,3
"183187",183187,0.0038956930715901,3
"183446",183446,0.00393723022284382,3
"183902",183902,0.00365775487837258,3
"184812",184812,0.00386467077590212,3
"184984",184984,0.0039493627523155,3
"185141",185141,0.00395462792685902,3
"185160",185160,0.00401220729808076,3
